Materiales;Mano de obra
365,4;379,4
369,5;391,5
373,5;392,2
376,9;403,6
380,7;430,4
384,6;432,2
388,1;435,1
391,3;453,9
394,5;455,9
398,2;454,4
401,9;457,4
405,6;487,5
